producto_id,nombre,sku,molecula_texto_actual,laboratorio,grupo,molecula_propuesta,nota_del_dueno
"37994","DUVADILAN 10 MG X 30 COMPRIMIDOS","ME11176","","LABORATORIOS VARGAS S.A.","C_CANDIDATA_NUEVA","Isoxsuprina",""
"38008","ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII) 2 MILLARDOS / 5 ML X 10 SUSPENSION ORAL","ME1103","","CALOX INTERNATIONAL C.A.","C_CANDIDATA_NUEVA","Bacillus clausii (esporas)",""
"38092","NIAZOL 1 MG / ML X 10 SOLUCION NASAL","ME784","","BIOTECH LABORATORIOS C.A.","B_MARCA_AMBIGUA","NIAZOL 1 mg/mL nasal","AISLAR A GRUPO (existe este mismo producto pero en tabletas que no tiene molecula, traelo tambien)"
"38183","GYNODERAIN 0.6 G X 6 OVULOS","ME25838","","FARMACEUTICI DAMOR S.P.A","C_CANDIDATA_NUEVA","fenoxietanol","AISLAR A GRUPO"
"38200","HIRUDOID (POLISULFATO DE MUCOPOLISACARIDO) 25.000 UI / 100 G GEL","ME1384","","CIFARMA S.A.C","C_CANDIDATA_NUEVA","Condroitina Sulfato Sodio",""
"38306","LACTBET 3000 U X 10 CAPSULAS","ME36925/2","","BIOTECH LABORATORIOS C.A.","C_CANDIDATA_NUEVA","lactasa","AISLAR A GRUPO"
"38307","LACTBET 3000 U X 20 CAPSULAS","ME36925/3","","BIOTECH LABORATORIOS C.A.","C_CANDIDATA_NUEVA","lactasa","AISLAR A GRUPO"
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","ME41135","","(CAMBIAR A MEDIFARM)","C_CANDIDATA_NUEVA","Acidos Omega 3 - Magnesio - Hierro - Zinc - Vitamina D - Vitamina C - Vitamina A - Vitamina H - Vitamina B1 - Vitamina B2 - Vitamina B3 - Vitamina B5 - Vitamina B6 - Vitamina B9 - Vitamina B12",""
"38495","MIOVIT X 10 COMPRIMIDOS RECUBIERTOS","ME22476/2","","LABORATORIO COFASA S.A.","C_CANDIDATA_NUEVA","Tiamina - Piridoxina - Cianocobalamina,",""
"38496","MIOVIT X 30 COMPRIMIDOS RECUBIERTOS","ME22476/3","","LABORATORIO COFASA S.A.","C_CANDIDATA_NUEVA","Tiamina - Piridoxina - Cianocobalamina,",""
"38524","MULTIVIRAL X 30 CAPSULAS","ME11776","","LABORATORIOS SIEGFRIED S.A.","C_CANDIDATA_NUEVA","Magnesio - Hierro - Zinc - Vitamina D - Vitamina C - Vitamina A - Calcio - Vitamina B1 - Vitamina B2 - Vitamina B3 - Manganeso - Vitamina B6 - Fosforo",""
"38560","NITAX 500 MG X 6 TABLETAS RECUBIERTAS","ME42837","","LABORATORIO LA SANTE C.A.","C_CANDIDATA_NUEVA","Nitazoxanida","AISLAR A GRUPO PARA NUEVA MOLECULA EN VADEMECUM COMO LOS ANTERIOES"
"38561","NITAZOXANIDA 500 MG X 6 TABLETAS RECUBIERTAS","ME37921","","LABORATORIO LA SANTE C.A.","C_CANDIDATA_NUEVA","Nitazoxanida","AISLAR A GRUPO PARA NUEVA MOLECULA"
"38580","NYTAXIN 500 MG X 6 CAPSULAS BLANDAS","ME37707","","PROCAPS S.A.","C_CANDIDATA_NUEVA","nitazoxanida","AISLAR A GRUPO PARA NUEVA MOLECULA"
"38614","OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS","ME1221","","OM PHARMA SA","C_CANDIDATA_NUEVA","Lisado bacteriano","AISLAR A GRUPO PARA NUEVA MOLECULA"
"38652","PEPTO-BISMOL 525 MG / 30 ML SUSPENSION ORAL","ME44126","","LABORATORIOS FARMA S.A.","C_CANDIDATA_NUEVA","subsalicilato de bismuto","AISLAR A GRUPO PARA NUEVA MOLECULA"
"38667","PIPERAZINA 500 MG / 5 ML JARABE","ME40639","","EMPRESA LABORATORIO FARMACEUTICO LIQUIDOS ORALES MEDILIPAMO MEDILIP","C_CANDIDATA_NUEVA","Piperazina","AISLAR A GRUPO PARA NUEVA MOLECULA"
"38675","POLIAMIN 10 % (AMINOACIDOS CRISTALINOS) SOLUCION INYECTABLE INTRAVENOSA","HO29980","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Aminoacidos cristalinos","AISLAR A GRUPO PARA NUEVA MOLECULA"
"38732","SOLUCION DE RINGER LACTATO (SOLUCION DE HARTMANN) INYECTABLE","HO1370B","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","CLORURO DE SODIO - CLORURO DE POTASIO - LACTATO DE SODIO",""
"39000","ZONTRICON 100 MG / 5 ML POLVO PARA SUSPENSION","ME36302","","LABORATORIOS LETI S.A.V.","C_CANDIDATA_NUEVA","nitazoxanida",""
"39158","COMPLEJO DE VITAMINA B X 20 TABLETAS","ME1412","","LABORATORIOS SPEFAR VENEZOLANOS S.A.","C_CANDIDATA_NUEVA","Complejo de vitamina B",""
"39352","REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA","ME42185","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Sales de Rehidratación Oral",""
"39354","REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA","ME42186","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Sales de Rehidratación Oral",""
"39356","SOLUCION RINGER LACTATO (SOLUCION HARTMAN) INYECTABLE","HO32579","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","CLORURO DE SODIO - CLORURO DE POTASIO - LACTATO DE SODIO",""
"39421","ALILUB 1.4 % SOLUCION OFTALMICA","ME43324","","ARBOFARMA S.A.S.","C_CANDIDATA_NUEVA","Alcohol Polivinílico",""
"39563","PEPSADEL 262 MG X 12 TABLETAS MASTICABLES","ME44522","","LABORATORIO FARMACEUTICO FARDEL","C_CANDIDATA_NUEVA","Subsalicilato de Bismuto",""
"39694","COMPLEJO 2 ML X 3 INYECTABLE","","Complejo","CALOX INTERNATIONAL, C.A.","B_MARCA_AMBIGUA","COMPLEJO 2 mL x 3 (inyectable)",""
"39697","PORTU 4 MG X 100 COMPRIMIDOS","","Portu","CASA DE REPRESENTACION MVGA PHARMA","C_CANDIDATA_NUEVA","Clemastina",""
"39770","MAGNESIO GLICINATO X 60 TABLETAS","","Magnesio Glicinato","ARCO IRIS LABORATORIO, C.A.","C_CANDIDATA_NUEVA","Magnesio glicinato",""
"39771","MATERNAVIT X 30 CAPSULAS BLANDAS","","Maternavit","CASAS DE REPRESENTACION MEDIFARM, C.A.","C_CANDIDATA_NUEVA","Minerales","unificalo con el id 38430 que tiene el laboratorio malo y este tiene el laboratorio bueno con su inhrr y a este le falta todas las moleculas"
"39811","OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS","","Ommunal","LABORATORIOS LETI, S.A.V.","C_CANDIDATA_NUEVA","Lisado bacteriano","AISLAR A GRUPO PARA NUEVA MOLECULA"
"39869","BITEX COMPLEJO B NATURALIFES X 30 TABLETAS","","Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes","BY NATURLIFES, C.A.","C_CANDIDATA_NUEVA","Tiamina - Piridoxina - Cianocobalamina",""
