id_fila,producto_id,sku_orig,nombre_orig,accion,target_id,lab_real,lab_nuevo,nombre_propuesto,forma,molecula,presentacion,unidades,linea,fuente_desc,desc_candidata,foto_candidata,tier,score,motivo,aprobado
34,37424,ME30206/4,AMLODIPINA 10 MG X 60 COMPRIMIDOS,crear,,"CASA DE REPRESENTACION DOROPHARMA, C.A.",si,AMLODIPINA 10 MG X 60 COMPRIMIDOS,COMPRIMIDOS,Amlodipino,X 60 COMPRIMIDOS,60,Linea Farmacia,cobeca,AMLODIPINA COMP 10MG X60 DORO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20112.jpg,,,lab sin productos en BD,si
35,37425,ME30206/2,AMLODIPINA 10 MG X 10 COMPRIMIDOS,crear,,"LABORATORIO LA SANTE, C.A.",no,AMLODIPINA 10 MG X 10 COMPRIMIDOS,COMPRIMIDOS,Amlodipino,X 10 COMPRIMIDOS,10,Linea Farmacia,cobeca,AMLODIPINA TAB 10MG X10 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2419.jpg,,,lab existe pero sin match >= T0,si
36,37429,ME39126/2,AMLODIPINA 10 MG X 20 TABLETAS,asignar,39035,"LABORATORIOS KIMICEG, C.A.",no,AMLODIPINA 10 MG X 20 TABLETAS,TABLETAS,Amlodipino,,,,cobeca,AMLODIPINA TAB 10MG X20 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92638.jpg,0,1002,match T0 score 1002,si
37,37433,ME31230,AMLODIPINA 5 MG X 30 TABLETAS,crear,,"LABORATORIO LA SANTE, C.A.",no,AMLODIPINA 5 MG X 30 TABLETAS,TABLETAS,Amlodipina,X 30 TABLETAS,30,Linea Farmacia,cobeca,AMLODIPINA TAB 5MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99081.jpg,,,lab existe pero sin match >= T0,si
38,37438,ME43040,AMOXICILINA 500 MG X 10 CAPSULAS,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,AMOXICILINA 500 MG X 10 CAPSULAS,CAPSULAS,Amoxicilina,X 10 CAPSULAS,10,Linea Farmacia,cobeca,AMOXICILINA CAP 500MG X 10 DISTR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30058.jpg,,,lab sin productos en BD,si
39,37440,ME20340/3,AMOXICILINA 500 MG X 10 CAPSULAS,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,AMOXICILINA 500 MG X 10 CAPSULAS,CAPSULAS,Amoxicilina,X 10 CAPSULAS,10,Linea Farmacia,cobeca,AMOXICILINA CAP 500MG X 10 DISTR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30058.jpg,,,lab sin productos en BD,si
40,37441,ME20340/4,AMOXICILINA 500 MG X 12 CAPSULAS,asignar,37443,"LABORATORIOS LETI, S.A.V.",no,AMOXICILINA 500 MG X 12 CAPSULAS,CAPSULAS,Amoxicilina,,,,cobeca,AMOXICILINA CAP 500MG X12 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25978.jpg,0,1002,match T0 score 1002,si
41,37442,ME20340/2,AMOXICILINA 500 MG X 6 CAPSULAS,crear,,"LABORATORIO LA SANTE, C.A.",no,AMOXICILINA 500 MG X 6 CAPSULAS,CAPSULAS,Amoxicilina,X 6 CAPSULAS,6,Linea Farmacia,cobeca,AMOXICILINA CAP 500MG X6 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5265.jpg,,,lab existe pero sin match >= T0,si
42,37446,ME23745,AMOXICILINA 125 MG / 5 ML SUSPENSION,crear,,"CASA DE REPRESENTACION BIUMAK PHARMACEUTICALS, C.A.",si,AMOXICILINA 125 MG / 5 ML SUSPENSION,SUSPENSION ORAL,Amoxicilina,SUSPENSION ORAL,,Linea Farmacia,cobeca,AMOXICILINA SUSP 125MG/5ML BIU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26127.jpg,,,lab sin productos en BD,si
43,37447,ME25639,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION,asignar,37444,"CALOX INTERNATIONAL, C.A.",no,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,Amoxicilina,,,,cobeca,AMOXICILINA PVO PED 250MG/5ML 60ML CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg,0,1002,match T0 score 1002,si
44,37452,ME22089,AMOXIVAL 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,asignar,37444,"CALOX INTERNATIONAL, C.A.",no,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,Amoxicilina,,,,cobeca,AMOXICILINA PVO PED 250MG/5ML 60ML CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg,0,1002,match T0 score 1002,si
45,37463,ME42609,ANASTROZOL 1 MG X 30 TABLETAS RECUBIERTAS,crear,,"CASA DE REPRESENTACION MT GLOBAL CARE, C.A.",si,ANASTROZOL 1 MG X 30 TABLETAS RECUBIERTAS,TABLETAS,Anastrozol,X 30 TABLETAS,30,Linea Farmacia,cobeca,ANASTROZOL TAB 1MG X30 CR MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26476.jpg,,,lab sin productos en BD,si
46,37480,ME44489,APITENA 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,crear,,"CASA DE REPRESENTACION MT GLOBAL CARE, C.A.",si,APIXABAN 2.5 MG X 30 COMPRIMIDOS,COMPRIMIDOS,Apixaban,X 30 COMPRIMIDOS,30,Linea Farmacia,cobeca,APIXABAN TAB/REC 2.5MG X 30 MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30329.jpg,,,lab sin productos en BD,si
47,37510,ME43445,ATAPEC 100 MG X 30 TABLETAS RECUBIERTAS,crear,,"LABORATORIOS FC PHARMA, C.A.",si,ATAPEC 100 MG X 30 TABLETAS RECUBIERTAS,TABLETAS,Atapec,X 30 TABLETAS,30,Linea Farmacia,cobeca,ATAPEC TAB 100MG X30 FC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25050.jpg,,,lab sin productos en BD,si
48,37512,ME25816,ATENOLOL 100 MG X 30 TABLETAS,crear,,"LABORATORIO LA SANTE, C.A.",no,ATENOLOL 100 MG X 30 TABLETAS,TABLETAS,Atenolol,X 30 TABLETAS,30,Linea Farmacia,cobeca,ATENOLOL TAB 100MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7789.jpg,,,lab existe pero sin match >= T0,si
49,37513,ME25817,ATENOLOL 50 MG X 30 TABLETAS,crear,,"LABORATORIOS BUKA, C.A.",si,ATENOLOL 50 MG X 30 TABLETAS,TABLETAS,Atenolol,X 30 TABLETAS,30,Linea Farmacia,cobeca,ATENOLOL TAB 50MG X30 BUKA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23700.jpg,,,lab sin productos en BD,si
50,37514,ME25982,ATENOLOL 50 MG X 30 COMPRIMIDOS,crear,,"LABORATORIOS BUKA, C.A.",si,ATENOLOL 50 MG X 30 COMPRIMIDOS,COMPRIMIDOS,Atenolol,X 30 COMPRIMIDOS,30,Linea Farmacia,cobeca,ATENOLOL TAB 50MG X30 BUKA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23700.jpg,,,lab sin productos en BD,si
51,37516,ME39468/3,ATORVACOF 20 MG X 30 TABLETAS RECUBIERTAS,ya_tiene_foto,37525,"LABORATORIO LA SANTE, C.A.",no,,,,,,,cobeca,ATORVASTATINA TAB REC 20MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22227.jpg,0,1002,producto objetivo ya tiene foto (#37525),no
52,37518,ME32690/3,ATORVASTATINA 20 MG X 14 COMPRIMIDOS RECUBIERTOS,crear,,"LABORATORIO LA SANTE, C.A.",no,ATORVASTATINA 20 MG X 14 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,Atorvastatina,X 14 COMPRIMIDOS,14,Linea Farmacia,cobeca,ATORVASTATINA TAB 20MG X14 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11565.jpg,,,solo match relaxando pack (T2) — presentacion exacta no existe,si
53,37522,ME37775,ATORVASTATINA 20 MG X 30 TABLETAS RECUBIERTAS,ya_tiene_foto,37525,"LABORATORIO LA SANTE, C.A.",no,,,,,,,cobeca,ATORVASTATINA TAB REC 20MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22227.jpg,0,1002,producto objetivo ya tiene foto (#37525),no
54,37523,ME35340/3,ATORVASTATINA 40 MG X 30 TABLETAS RECUBIERTAS,asignar,37520,"LABORATORIOS LETI, S.A.V.",no,ATORVASTATINA 40 MG X 30 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,Atorvastatina,,,,cobeca,ATORVASTATINA COMP 40MG X30 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98292.jpg,0,1002,match T0 score 1002,si
55,37524,ME35340/2,ATORVASTATINA 40 MG X 14 TABLETAS RECUBIERTAS,crear,,"LABORATORIO LA SANTE, C.A.",no,ATORVASTATINA 40 MG X 14 TABLETAS RECUBIERTAS,TABLETAS,Atorvastatina,X 14 TABLETAS,14,Linea Farmacia,cobeca,ATORVASTATINA TAB REC 40MG X14 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/91726.jpg,,,lab existe pero sin match >= T0,si
56,37532,ME29902,AUGMENTIN BID 875 MG - 125 MG TABLETAS RECUBIERTAS,crear,,"GLAXOSMITHKLINE VENEZUELA, C.A.",si,AUGMENTIN BID 875 MG - 125 MG TABLETAS RECUBIERTAS,TABLETAS,Amoxicilina - Clavulanico Acido,TABLETAS,,Linea Farmacia,cobeca,AUGMENTIN TAB 875MG/125MG X 14 GSK,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92934.jpg,,,lab existe pero sin match >= T0,si
57,37544,ME31564/3,AZITROMICINA 500 MG X 5 COMPRIMIDOS RECUBIERTOS,asignar,39090,"LABORATORIOS LETI, S.A.V.",no,AZITROMICINA 500 MG COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,Azitromicina,,,,cobeca,AZITROMICINA COMP 500MG X5 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg,0,1002,match T0 score 1002,si
58,37545,ME31564/2,AZITROMICINA 500 MG X 3 COMPRIMIDOS RECUBIERTOS,crear,,"CALOX INTERNATIONAL, C.A.",no,AZITROMICINA 500 MG X 3 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,Azitromicina,X 3 COMPRIMIDOS,3,Linea Farmacia,cobeca,AZITROMICINA TAB 500MG X3 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11009.jpg,,,solo match relaxando pack (T3) — presentacion exacta no existe,si
59,37546,ME42509,AZITROMICINA 200 MG / 5 ML SUSPENSION ORAL,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,AZITROMICINA 200 MG / 5 ML SUSPENSION ORAL,SUSPENSION ORAL,Azitromicina,SUSPENSION ORAL,,Linea Farmacia,cobeca,AZITROMICINA SUSP 200MG/5ML 15ML CR DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21793.jpg,,,lab sin productos en BD,si
60,37547,ME42465,AZITROMICINA 500 MG X 5 TABLETAS RECUBIERTAS,asignar,39090,"LABORATORIOS LETI, S.A.V.",no,AZITROMICINA 500 MG COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,Azitromicina,,,,cobeca,AZITROMICINA COMP 500MG X5 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg,0,1002,match T0 score 1002,si
61,37550,ME20140,BACITRACINA 500 UI - G UNGUENTO,crear,,"CASA DE REPRESENTACION DISTRILAB, C.A.",si,BACITRACINA 500 UI / 20 G UNGUENTO,UNGUENTO,Bacitracina,UNGUENTO,,Linea Farmacia,cobeca,BACITRACINA UNG 500UI/G X 20G DISTRILAB,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29019.jpg,,,lab sin productos en BD,si
62,37573,HO36271/2,BETAMETASONA 4 MG / ML X 1 AMPOLLA,asignar,39096,"LABORATORIOS VALMOR, C.A.",no,BETAMETASONA 4 MG / ML X 1 AMPOLLA,INYECTABLE,,,,,cobeca,BETAMETASONA INY 4MG/1ML X1 VLM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2117.jpg,0,2,match T0 score 2,si
