producto_id,nombre,molecula,metodo,nota,estado_candidata,detalle
39697,PORTU 4 MG,Clemastina,no_aprobada_espana,,CANDIDATA_NUEVA,
39771,MATERNAVIT,Multivitamínico,no_aprobada_espana,,CANDIDATA_NUEVA,
39771,MATERNAVIT,Minerales,no_aprobada_espana,,CANDIDATA_NUEVA,
38306,LACTBET 3000 U X 10 CAPSULAS,lactasa,no_aprobada_espana,,CANDIDATA_NUEVA,
38307,LACTBET 3000 U X 20 CAPSULAS,lactasa,no_aprobada_espana,,CANDIDATA_NUEVA,
38317,LENTOCILIN 6.3.3 X 1 AMPOLLA,bencilpenicilina procaínica,sin_match_vademecum,,PRODUCTO_YA_ENLAZADO,Bencilpenicilina Potasica + Bencilpenicilina Procaina + Bencilpenicilina-benzatina
38356,LIOLACTIL X 20 SOBRES,Lactobacillus LB inactivado y medio de cultivo fermentado,no_aprobada_espana,,PRODUCTO_YA_ENLAZADO,Lactobacillus Rhamnosus
,MIOVIT X 10 COMPRIMIDOS y X 30 COMPRIMIDOS,tiamina + piridoxina + cianocobalamina,sin_match_vademecum,NOMBRE DE PRODUCTO NO RESUELTO EN BD,YA_EXISTE_EN_VADEMECUM,Tiamina (exacto)
38524,MULTIVIRAL X 30 CAPSULAS,multivitaminas,no_aprobada_espana,,CANDIDATA_NUEVA,
38524,MULTIVIRAL X 30 CAPSULAS,minerales,no_aprobada_espana,,CANDIDATA_NUEVA,
38580,NYTAXIN 500 MG X 6 CAPSULAS BLANDAS,nitazoxanida,no_aprobada_espana,,CANDIDATA_NUEVA,
38652,PEPTO-BISMOL 525 MG / 30 ML SUSPENSION ORAL,subsalicilato de bismuto,no_aprobada_espana,,CANDIDATA_NUEVA,
38860,TIDOR 2 % - 0.5 % SOLUCION OFTALMICA,miconazol,no_aprobada_espana,,YA_EXISTE_EN_VADEMECUM,Miconazol (exacto)
39000,ZONTRICON 100 MG / 5 ML POLVO PARA SUSPENSION,nitazoxanida,no_aprobada_espana,,CANDIDATA_NUEVA,
38183,GYNODERAIN 0.6 G,extracto acuoso de Triticum vulgare,sin_match_vademecum,candidata a ingreso nuevo en vademecum (ronda 2 - veredicto del dueno),CANDIDATA_NUEVA,
38183,GYNODERAIN 0.6 G,fenoxietanol,sin_match_vademecum,candidata a ingreso nuevo en vademecum (ronda 2 - veredicto del dueno),CANDIDATA_NUEVA,
