producto_id,nombre,sku,molecula_texto_actual,laboratorio,grupo,molecula_propuesta,nota_del_dueno
"38430","MATERNAVIT X 30 CAPSULAS BLANDAS","ME41135","","LAMBO LABORATORIA N.V","C_CANDIDATA_NUEVA","Minerales",""
"38495","MIOVIT X 10 COMPRIMIDOS RECUBIERTOS","ME22476/2","","LABORATORIO COFASA S.A.","C_CANDIDATA_NUEVA","Complejo B",""
"38496","MIOVIT X 30 COMPRIMIDOS RECUBIERTOS","ME22476/3","","LABORATORIO COFASA S.A.","C_CANDIDATA_NUEVA","Complejo B",""
"38524","MULTIVIRAL X 30 CAPSULAS","ME11776","","LABORATORIOS SIEGFRIED S.A.","C_CANDIDATA_NUEVA","minerales",""
"38560","NITAX 500 MG X 6 TABLETAS RECUBIERTAS","ME42837","","LABORATORIO LA SANTE C.A.","C_CANDIDATA_NUEVA","Nitazoxanida",""
"38561","NITAZOXANIDA 500 MG X 6 TABLETAS RECUBIERTAS","ME37921","","LABORATORIO LA SANTE C.A.","C_CANDIDATA_NUEVA","Nitazoxanida",""
"38580","NYTAXIN 500 MG X 6 CAPSULAS BLANDAS","ME37707","","PROCAPS S.A.","C_CANDIDATA_NUEVA","nitazoxanida",""
"38614","OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS","ME1221","","OM PHARMA SA","C_CANDIDATA_NUEVA","Lisado bacteriano",""
"38652","PEPTO-BISMOL 525 MG / 30 ML SUSPENSION ORAL","ME44126","","LABORATORIOS FARMA S.A.","C_CANDIDATA_NUEVA","subsalicilato de bismuto",""
"38667","PIPERAZINA 500 MG / 5 ML JARABE","ME40639","","EMPRESA LABORATORIO FARMACEUTICO LIQUIDOS ORALES MEDILIPAMO MEDILIP","C_CANDIDATA_NUEVA","Piperazina",""
"38675","POLIAMIN 10 % (AMINOACIDOS CRISTALINOS) SOLUCION INYECTABLE INTRAVENOSA","HO29980","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Aminoacidos cristalinos",""
"38732","SOLUCION DE RINGER LACTATO (SOLUCION DE HARTMANN) INYECTABLE","HO1370B","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Solucion de Ringer Lactato",""
"39000","ZONTRICON 100 MG / 5 ML POLVO PARA SUSPENSION","ME36302","","LABORATORIOS LETI S.A.V.","C_CANDIDATA_NUEVA","nitazoxanida",""
"39158","COMPLEJO DE VITAMINA B X 20 TABLETAS","ME1412","","LABORATORIOS SPEFAR VENEZOLANOS S.A.","C_CANDIDATA_NUEVA","Complejo de vitamina B",""
"39352","REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA","ME42185","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Sales de Rehidratación Oral",""
"39354","REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA","ME42186","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Sales de Rehidratación Oral",""
"39356","SOLUCION RINGER LACTATO (SOLUCION HARTMAN) INYECTABLE","HO32579","","LABORATORIO BEHRENS C.A.","C_CANDIDATA_NUEVA","Solucion de Ringer Lactato",""
"39421","ALILUB 1.4 % SOLUCION OFTALMICA","ME43324","","ARBOFARMA S.A.S.","C_CANDIDATA_NUEVA","Alcohol Polivinílico",""
"39563","PEPSADEL 262 MG X 12 TABLETAS MASTICABLES","ME44522","","LABORATORIO FARMACEUTICO FARDEL","C_CANDIDATA_NUEVA","Subsalicilato de Bismuto",""
"39694","COMPLEJO 2 ML X 3 INYECTABLE","","Complejo","CALOX INTERNATIONAL, C.A.","B_MARCA_AMBIGUA","COMPLEJO 2 mL x 3 (inyectable)",""
"39697","PORTU 4 MG X 100 COMPRIMIDOS","","Portu","CASA DE REPRESENTACION MVGA PHARMA","C_CANDIDATA_NUEVA","Clemastina",""
"39770","MAGNESIO GLICINATO X 60 TABLETAS","","Magnesio Glicinato","ARCO IRIS LABORATORIO, C.A.","C_CANDIDATA_NUEVA","Magnesio glicinato",""
"39771","MATERNAVIT X 30 CAPSULAS BLANDAS","","Maternavit","CASAS DE REPRESENTACION MEDIFARM, C.A.","C_CANDIDATA_NUEVA","Minerales",""
"39811","OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS","","Ommunal","LABORATORIOS LETI, S.A.V.","C_CANDIDATA_NUEVA","Lisado bacteriano",""
"39869","BITEX COMPLEJO VITAMINA B1 B2 B6 B12 NATURALIFES X 30 TABLETAS","","Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes","BY NATURLIFES, C.A.","C_CANDIDATA_NUEVA","Complejo Vitamina B1, B2, B6, B12",""
