tipo,producto_id,nombre_comercial,molecula_propuesta,n_productos,productos_ids,decision,atc_id
nueva_molecula,,,Butilescopolamina Bromuro,3,37322 37323 39449,,
nueva_molecula,,,Factor Antihemofilico Viii,1,37337,,
nueva_molecula,,,Agua Para Preparaciones Inyectables,1,37374,,
nueva_molecula,,,Agua Para Preparaciones Inyectables,1,37375,,
nueva_molecula,,,Bencidamina,1,37557,,
nueva_molecula,,,Bromhexina,2,37615 39664,,
nueva_molecula,,,Bromhexina,2,37616 37617,,
nueva_molecula,,,Citrato de Calcio,3,37766 37767 39684,,
nueva_molecula,,,Clenbuterol,1,37776,,
nueva_molecula,,,Clonidina,2,37794 37795,,
nueva_molecula,,,Pediococcus acidilactici,1,37832,,(Este tengo que verlo por que no es una molecula es un microorganismo probiotico)
nueva_molecula,,,Vitamina B1 - Vitamina B3 - Vitamina B6,3,37835 39158 39694,, (son 3 moleculas por que es complejo)
nueva_molecula,,,Bacillus clausii,1,38008,, (no es molecula quimica)
nueva_molecula,,,Gluconato Hierro,1,38173,,
nueva_molecula,,,Butilescopolamina Bromuro,2,38198 39901,,
nueva_molecula,,,Heparinoide Sulfomucopolisacarido,1,38200,,
nueva_molecula,,,Metformina,6,38457 38461 38462 38463 38464 38465,,
nueva_molecula,,,Butilescopolamina Bromuro,1,38528,,
nueva_molecula,,,Nitazoxanida,1,38561,, (si existe la molecula pero no esta en CIMA debido a que no la han aprobado)
nueva_molecula,,,Lisado Bacteriano,2,38614 39811,, (esta complicada dejala para decir que si existe pero no esta en CIMA)
nueva_molecula,,,Piperazina,1,38667,,(si existe la molecula pero no esta en CIMA)
nueva_molecula,,,Aminoácidos Cristalinos,1,38675,, (no lo enlzes pero no lo crees necesito mas investigacion)
nueva_molecula,,,Sodio Cloruro - Lactato Sodio - Calcio Cloruro - Cloruro De Potasio,1,38732,, (4 moleculas que ya existen en vademecum)
nueva_molecula,,,Terbinafina,1,38856,,
nueva_molecula,,,Morfina,1,39136,,
nueva_molecula,,,Nafazolina,1,39313,,
nueva_molecula,,,Sodio Cloruro - Lactato Sodio - Calcio Cloruro - Cloruro De Potasio,1,39356,,
nueva_molecula,,,Fosfato Monosodio Dihidrato,1,39551,,
nueva_molecula,,,Diclofenaco,1,39705,,
nueva_molecula,,,Fexofenadina,1,39723,,
nueva_molecula,,,Flavoxato,1,39726,,
nueva_molecula,,,Magnesio Glicinato,1,39770,,(si existe pero no esta registrado en CIMA)
nueva_molecula,,,Vitamina B1 - Vitamina B2 - Vitamina B6 - Vitamina B12",1,39869,,
ID	Nombre Comercial	Principio Activo (Molécula)
38083	FERGANIC 100 MG / 5 ML	Hierro (como Sulfato Ferroso)
38092	NIAZOL 1 MG / ML	Miconazol
38093	MONOSULPA X 260	Sulfadiazina de Plata
38094	FISIOLIN 0.65%	Cloruro de Sodio
38100	FLAVOL 300 MG	Aciclovir
38105	FLEMIBAR 20 MG - 2500 MG / 5 ML	Ambroxol + Cloruro de Amonio
38109	FLODONT 0.15%	Clorhexidina
38110	FLOMED 0.15% - 0.25%	Clorhexidina + Benzocaína
38133	FOSFOLIT 21.6 G - 8.1 G / 45 ML	Fosfato de Sodio
38136	FULGRAM 875 MG - 125 MG	Amoxicilina + Ácido Clavulánico
38152	GENESA 3 MG-20 MCG	Drospirenona + Etinilestradiol
38153	GENESA 3 MG-20 MCG	Drospirenona + Etinilestradiol
38157	GENURIN 200 MG	Flavoxato
38163	GLIDAN 80 MG	Gliclazida
38165	GLIFORMIN 850 MG	Metformina
38172	GLUCOFAGE 500 MG XR	Metformina
38178	GRATIO 500 MG	Claritromicina
38180	GULAPER 250 MG / 5 ML	Amoxicilina
38182	GULAPER 100 MG / 5 ML	Amoxicilina
38183	GYNODERAIN 0.6 G	Metronidazol
38189	HEXANTFLEM 250 MG / 5 ML	Amoxicilina
38212	IBUN 600 MG	Ibuprofeno
38238	IDOXEN 75 MG	Venlafaxina
38239	IDOXEN 150 MG	Venlafaxina
38240	ILANA 600 MG	Isotretinoína
38241	ILTUX 20 MG	Olmesartán Medoxomilo
38249	FLUTIXAIR 125 MG - 25 MCG / DOSIS	Fluticasona + Salmeterol
38251	IPROXIN 500 MG	Ciprofloxacina
38268	KATRIN 30 MG / ML	Ketorolaco
38304	KLAS 100 MG	Claritromicina
38306	LACTBET 3000 U	Lactasa
38307	LACTBET 3000 U	Lactasa
38317	LENTOCILIN 6.3.3	Penicilina G Procaínica + Penicilina G Sódica
38318	LEPRIT 25 MG	Hidroxicina
38326	LETISAN 500 MG	Fenofibrato
38327	LETISAN 500 MG	Fenofibrato
38329	LEVAMOX 750 MG	Levofloxacino
38355	LINEZID 2 MG / ML	Linezolid
38356	LIOLACTIL X 20 SOBRES	Lactobacillus rhamnosus
38358	LIPACOMB 40 MG - 10 MG	Atorvastatina + Ezetimiba
38364	LISOMUCIN 4 MG / 5 ML	Carbocisteína
38365	LISOMUCIN 8 MG / 5 ML	Carbocisteína
38368	LODIPIN 10 MG	Amlodipino
38369	LODIPIN VL 10 MG - 160 MG	Amlodipino + Valsartán
38370	LOFLOX 400 MG	Levofloxacino
38371	LOGANIL 250 MG / 5 ML	Cefadroxilo
38372	LOGANIL 100 MG / 5 ML	Cefadroxilo
38393	LORECORT 1 MG - 0.05 MG / 5 ML	Loratadina + Betametasona
38413	LOWPRES 150 MCG / ML	Desmopresina
38430	MATERNAVIT	Multivitamínico + Minerales
38432	MAXIFUR 50 MG	Nitrofurantoína
38437	MELIGEN 10 MG	Montelukast
38491	MILAX 50%	Lactulosa
38492	MIOVIT COMPOSITUM CON LIDOCAINA	Complejo B + Lidocaína
38493	MIOVIT COMPOSITUM CON LIDOCAINA	Complejo B + Lidocaína
38494	MIOVIT COMPOSITUM CON LIDOCAINA	Complejo B + Lidocaína
38495	MIOVIT X 10 COMPRIMIDOS	Complejo B
38496	MIOVIT X 30 COMPRIMIDOS	Complejo B
38507	MONTRAX 10 MG	Montelukast
38508	MONTRAX 10 MG	Montelukast
38509	MONTRAX 4 MG	Montelukast
38510	MONTRAX 5 MG	Montelukast
38511	MONTRAX 5 MG	Montelukast
38515	MOXIDEX 0.5 -0.1%	Moxifloxacino + Dexametasona
38519	MUCLAR 30 MG - 5 MG	Ambroxol + Carbocisteína
38520	MUCOBROL 4 MG / 5 ML	Bromhexina
38523	MULTIDERM 2% UNGUENTO	Mupirocina
38524	MULTIVIRAL X 30 CAPSULAS	Multivitamínico
38526	MUVETT 300 MG	Trimebutina
38529	NACLODIN 0.150 MG	Clonidina
38530	NAFINA 1% CREMA	Terbinafina
38545	NEULEVAL 500 MG	Levetiracetam
38546	NEULEVAL 750 MG	Levetiracetam
38557	NIPE PLUS	Nistatina + Neomicina
38560	NITAX 500 MG	Nitazoxanida
38576	NOTOLAC 20 MG	Ketorolaco
38577	NOTOLAC 20 MG	Ketorolaco
38580	NYTAXIN 500 MG	Nitazoxanida
38584	OFAFLAN 2 MG / ML	Metamizol (Dipirona)
38585	OFTERRA UNGUENTO OFTALMICO	Tobramicina + Dexametasona
38588	OLMECAR 40 MG	Olmesartán Medoxomilo
38628	OTANOL 50 MG / ML	Clorhexidina + Benzocaína
38642	PASIM 10 MG / ML	Metoclopramida
38643	PASOLAX	Fosfato de Sodio
38652	PEPTO-BISMOL 525 MG / 30 ML	Subsalicilato de Bismuto
38653	PEREBRON 28 MG / 5 ML	Dextrometorfano
38654	PEREBRON 28 MG / 5 ML	Dextrometorfano
38655	PERIDONT 0.12%	Clorhexidina
38657	PERTEN 1%	Permetrina
38659	PERTEN 1%	Permetrina
38662	PIMADOL 10 MG	Memantina
38674	OTODON 2% - 5%	Cloranfenicol + Benzocaína
38677	POTAX 10 MEQ	Citrato de Potasio
38700	PRESIDERM 2% UNGUENTO	Mupirocina
38701	PREVERAL CON CODEINA	Codeína + Guaifenesina
38704	PROTOSULFIL 1% CREMA	Sulfadiazina de Plata
38705	PROVICAR 2 G / 10 ML	Pirantel
38716	OTIRILIN 4% - 1%	Cloranfenicol + Benzocaína
38731	RINARIS 2.5 MG - 30 MG / 5 ML	Fenilefrina + Clorfeniramina
38735	RINOMAX 0.25% - 0.125% - 0.25%	Oximetazolina + Difenhidramina + Benzocaína
38754	ROVARTAL 40 MG	Rosuvastatina
38763	SALBUTAN 100 MCG / DOSIS	Salbutamol
38764	SARIFAN COMPOSITUM	Paracetamol + Clorfeniramina + Fenilefrina
38794	SILDEX 100 MG	Sildenafil
38795	SILDEX 100 MG	Sildenafil
38811	SULIXTRA 0.4 MG	Tamsulosina
38812	SULIXTRA DUO 0.4 MG - 0.5 MG	Tamsulosina + Dutasterida
38813	SULIXTRA DUO 0.4 MG - 0.5 MG	Tamsulosina + Dutasterida
38838	TAMOA 250 MG / 5 ML	Cefadroxilo
38841	TAMSULON 0.4 MG	Tamsulosina
38845	TANTUN 0.1%	Bencidamida
38858	TIALIN 50 MG	Sertralina
38859	TIALIN 50 MG	Sertralina
38860	TIDOR 2% - 0.5%	Timolol + Dorzolamida
38861	TILODRIN 4 MG / ML	Dextrometorfano
38862	TILODRIN 30 MG / 15 ML	Dextrometorfano
38880	TONERVOL 5 MG	Nebivolol
38884	TRACEVAL 500 MG - 50 MG	Acetaminofen + Tramadol
38885	TRACEVAL 325 MG - 37.5 MG	Acetaminofen + Tramadol
38889	TRAMAL LONG 150 MG	Tramadol
38896	FLUTIXAIR 250 MCG -25 MCG	Fluticasona + Salmeterol
38908	ULTAMYN 750 MG	Levofloxacino
38910	UROSINA 0.4 MG	Tamsulosina
38912	VALPRON 250 MG / 5 ML	Ácido Valproico
38936	VASPITOR 40 MG	Atorvastatina
38937	VASPITOR 40 MG	Atorvastatina
38938	VASSLUTEN HCT 300 MG - 12.5 MG	Irbesartán + Hidroclorotiazida
38939	VASSLUTEN HCT 150 MG - 12.5 MG	Irbesartán + Hidroclorotiazida
38971	VITADYN C 500 MG	Vitamina C (Ácido Ascórbico)
38972	VITADYN C 500 MG	Vitamina C (Ácido Ascórbico)
38975	VITENOL CREMA	Vitamina A + Vitamina E
38976	VIZERUL 75 MG	Venlafaxina
38977	VIZERUL 75 MG	Venlafaxina
38978	VIZERUL 150 MG / 10 ML	Venlafaxina
38979	VOLCOFEN 75 MG / 3 ML	Diclofenaco
38980	VONAU FLASH 4 MG	Ondansetrón
38991	ZILDON 10 MG	Olanzapina
38996	ZOLPIDEX 10 MG	Zolpidem
38997	ZOLPIDEX 10 MG	Zolpidem
39000	ZONTRICON 100 MG / 5 ML	Nitazoxanida
39002	ZOST 50 MG	Tramadol
39003	ZOST 50 MG	Tramadol
39004	ZOST 50 MG	Tramadol
39064	APLACAL 750 MG	Carbonato de Calcio
39065	APLACAL 750 MG	Carbonato de Calcio
39066	APLACAL 750 MG	Carbonato de Calcio
39067	APLACAL 750 MG	Carbonato de Calcio
39068	APLACAL 750 MG	Carbonato de Calcio
39069	APLACAL 750 MG	Carbonato de Calcio
39088	ATROVERAN 10 MG	N-Butil-Bromuro de Hioscina
39089	ATROVERAN FORTE 20 MG	N-Butil-Bromuro de Hioscina
39104	BIPROLIL 2.5 MG	Bisoprolol
39138	CIFARCAINA HIPERBARA AL 5%	Bupivacaína
39273	KLINCOSAL 262 MG - 100 MG	Subsalicilato de Bismuto + Metronidazol
39274	KLINCOSAL 262 MG - 500 MG / 15 ML	Subsalicilato de Bismuto + Metronidazol
39275	KLINCOSAL 262 MG - 500 MG / 15 ML	Subsalicilato de Bismuto + Metronidazol
39343	PROTOSULFIL 1% POLVO	Sulfadiazina de Plata
39344	CARNITENE 1 G / 10 ML	L-Carnitina
39352	REHIDROSOL 45 MEQ / L	Sales de Rehidratación Oral
39354	REHIDROSOL 60 MEQ / L	Sales de Rehidratación Oral
39418	ACRYLARM 0.2% GEL OFTALMICO	Hialuronato de Sodio
39421	ALILUB 1.4%	Alcohol Polivinílico
39540	MAXIFURFORTE 100 MG	Nitrofurantoína
39547	ACECOL 600 MG	Acetilcisteína
39548	ACECOL 600 MG	Acetilcisteína
39550	NEMAX 16% - 6%	Fosfato de Sodio Monobásico + Fosfato de Sodio Dibásico
39563	PEPSADEL 262 MG	Subsalicilato de Bismuto
39576	FLUDINAX 0.9%	Cloruro de Sodio
39577	SILVEDERMA 1% CREMA	Sulfadiazina de Plata
39597	UDOX 75 MG	Venlafaxina
39635	AGUA OXIG ALVA INYECTABLE	Peróxido de Hidrógeno (Agua Oxigenada)
39649	ATAPEC 100 MG	Attapulgita + Pectina
39655	AUGMENTIN BID 875 MG - 125 MG	Amoxicilina + Ácido Clavulánico
39696	6 MG X 30 COMPRIMIDOS	Deflazacort
39697	PORTU 4 MG	Clemastina
39698	SODICO 4 MG / 1 ML	Dexametasona Fosfato Sódico
39700	SODICO 8 MG / 2 ML	Dexametasona Fosfato Sódico
39771	MATERNAVIT	Multivitamínico + Minerales
39830	PREVERAL DEXTRO REFORM 120 ML	Dextrometorfano + Guaifenesina
39898	ANGIOFLUX 250LSU	Diosmina + Hesperidina


Y aca estan las moleculas pero desordenadas puede que necesites hacer un parse para enlazarlas con las moleculas que ya tenemos Irbesartan y aca esta como ibersartan:

ALGOREN 10 MG, propranolol

AMPLIDER 50 MG, amilorida + hidroclorotiazida

ANTAAR 1.25 MG (ambas presentaciones), indapamida

APIRET 120 MG / 5 ML y APIRET 160 MG / 5 ML, paracetamol

ATAPEC 100 MG, no confirmado; la coincidencia disponible parece corresponder a un producto de nombre similar, no idéntico

ATRIMON 10 MG, zolpidem

AVELOX 400 MG, moxifloxacino

BILOL 2.5 MG, bisoprolol

BIOCOR AMLO, bisoprolol + amlodipino

BIOCOR (todas las presentaciones), bisoprolol

BIOTALOL (todas las presentaciones), bisoprolol

BIPRIN 300 MG, piridoxina (vitamina B6)

CALCIBON 200 MG, calcio carbonato

CALOXPIRINA 81 MG (ambas presentaciones), ácido acetilsalicílico

CAMPAL 50 MG, captopril

CANFIR 500 MG, cefalexina

CETRAL D 5 MG - 60 MG / 5 ML, cetirizina + pseudoefedrina

CIFARCAINA AL 1% y AL 2%, lidocaína

CIPROFLOX 500 MG, ciprofloxacino

CLARIX 0.25 MG / ML, claritromicina

CLENBUNAL 0.014 MG / ML, clenbuterol

CLOFEN 1.8 MG / ML, diclofenaco

CO-SULTRIN 40 MG - 200 MG / 5 ML, trimetoprim + sulfametoxazol

COLYPAN 200 MG, trimebutina

CORAZEM 60 MG, diltiazem

CORENTEL (todas las presentaciones), bisoprolol

DALCITRIN 2% UNGUENTO, miconazol nitrato

DECOBEL 8 MG / 2 ML, dexametasona

DENCOFEN 1.16% CREMA, diclofenaco dietilamina

DENUAL 150 MG, ácido ibandrónico

DERAIN 15% CREMA, ácido azelaico

DIAGESIC 1.8 MG / ML, diclofenaco

DIPLOZ 1 MG, clonazepam

DOBET 2% - 0.5%, ketoconazol + betametasona

DOBRACID 300 MG (ambas presentaciones), ácido ursodesoxicólico

DOLAK (todas las presentaciones), ketorolaco

DOLCAN 9 MG / 5 ML, ibuprofeno

DUROVAL 50 MG (todas las presentaciones), sildenafilo

ESAN 20 MG, no confirmado; la coincidencia disponible parece corresponder a un producto de nombre similar, no idéntico

FLODONT 0.15%, bencidamina

FLOMED 0.15% - 0.25%, benzydamina + cetilpiridinio

FOSFOLIT 21.6 G - 8.1 G / 45 ML, fosfato monosódico + fosfato disódico

GYNODERAIN 0.6 G, clindamicina fosfato

HEXANTFLEM 250 MG / 5 ML, cefalexina

ILANA 600 MG, ibuprofeno

LACTBET 3000 U (ambas presentaciones), lactasa

LENTOCILIN 6.3.3, bencilpenicilina benzatínica + bencilpenicilina procaínica + bencilpenicilina sódica

LEPRIT 25 MG, quetiapina

LEVAMOX 750 MG, levofloxacino

LIOLACTIL X 20 SOBRES, Lactobacillus LB inactivado y medio de cultivo fermentado

LIPACOMB 40 MG - 10 MG, atorvastatina + ezetimiba

LODIPIN VL 10 MG - 160 MG, amlodipino + valsartán

MAXIFUR 50 MG, nitrofurantoína

MELIGEN 10 MG, melatonina

MILAX 50%, macrogol

MIOVIT COMPOSITUM CON LIDOCAINA (todas las presentaciones), tiamina + piridoxina + cianocobalamina + lidocaína

MIOVIT X 10 COMPRIMIDOS y X 30 COMPRIMIDOS, tiamina + piridoxina + cianocobalamina

MONTRAX 4 MG y 5 MG, montelukast

MOXIDEX 0.5 - 0.1%, moxifloxacino + dexametasona

MULTIVIRAL X 30 CAPSULAS, multivitaminas + minerales

MUVETT 300 MG, trimebutina

NACLODIN 0.150 MG, clonidina

NAFINA 1% CREMA, terbinafina

NEULEVAL 500 MG y 750 MG, levofloxacino

NIPE PLUS, nifedipino + enalapril

NYTAXIN 500 MG, nitazoxanida

OFAFLAN 2 MG / ML, ketorolaco trometamol

OFTERRA UNGUENTO OFTALMICO, eritromicina

OLMECAR 40 MG, olmesartán medoxomilo

OTANOL 50 MG / ML, dimenhidrinato

PASIM 10 MG / ML, simeticona

PASOLAX, senósidos

PEPTO-BISMOL 525 MG / 30 ML, subsalicilato de bismuto

PEREBRON 28 MG / 5 ML (ambas presentaciones), ambroxol

PERIDONT 0.12%, clorhexidina digluconato

PERTEN 1% (ambas presentaciones), clotrimazol

PIMADOL 10 MG, ketorolaco trometamol

OTODON 2% - 5%, lidocaína + fenazona

POTAX 10 MEQ, cloruro de potasio

PRESIDERM 2% UNGUENTO, mupirocina

PREVERAL CON CODEINA, prometazina + codeína

PROTOSULFIL 1% CREMA, sulfadiazina de plata

PROVICAR 2 G / 10 ML, levocarnitina

OTIRILIN 4% - 1%, lidocaína + fenazona

RINARIS 2.5 MG - 30 MG / 5 ML, cetirizina + pseudoefedrina

RINOMAX 0.25% - 0.125% - 0.25%, neomicina + fenilefrina + clorfeniramina

ROVARTAL 40 MG, rosuvastatina

SALBUTAN 100 MCG / DOSIS, salbutamol

SARIFAN COMPOSITUM, paracetamol + cafeína + ergotamina

SILDEX 100 MG (ambas presentaciones), sildenafilo

SULIXTRA 0.4 MG, tamsulosina

SULIXTRA DUO 0.4 MG - 0.5 MG (ambas presentaciones), tamsulosina + dutasterida

TAMOA 250 MG / 5 ML, pirantel

TAMSULON 0.4 MG, tamsulosina

TANTUN 0.1%, bencidamina

TIALIN 50 MG (ambas presentaciones), sertralina

TIDOR 2% - 0.5%, miconazol + hidrocortisona

TILODRIN 4 MG / ML, dextrometorfano

TILODRIN 30 MG / 15 ML, dextrometorfano

TONERVOL 5 MG, escitalopram

TRACEVAL 500 MG - 50 MG, paracetamol + tramadol

TRACEVAL 325 MG - 37.5 MG, paracetamol + tramadol

TRAMAL LONG 150 MG, tramadol

FLUTIXAIR 250 MCG -25 MCG, fluticasona propionato + salmeterol

ULTAMYN 750 MG, levetiracetam

UROSINA 0.4 MG, tamsulosina

VALPRON 250 MG / 5 ML, ácido valproico

VASPITOR 40 MG (ambas presentaciones), atorvastatina

VASSLUTEN HCT 300 MG - 12.5 MG, irbesartán + hidroclorotiazida

VASSLUTEN HCT 150 MG - 12.5 MG, irbesartán + hidroclorotiazida

VITADYN C 500 MG (ambas presentaciones), ácido ascórbico (vitamina C)

VITENOL CREMA, Retinol

VIZERUL 75 MG (ambas presentaciones), clopidogrel

VIZERUL 150 MG / 10 ML, clopidogrel

VOLCOFEN 75 MG / 3 ML, diclofenaco sódico

VONAU FLASH 4 MG, ondansetrón

ZILDON 10 MG, aripiprazol

ZOLPIDEX 10 MG (ambas presentaciones), zolpidem

ZONTRICON 100 MG / 5 ML, nitazoxanida

ZOST 50 MG (todas las presentaciones), losartán potásico
